0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng
AAA|AAA|NTGA|NTGA|Anaa|Anaa|Anaa|Anaa|French Polynesia|French Polynesia
AAB|AAB|YARY|YARY|Arrabury|Arrabury|Arrabury|Arrabury|Australia|Australia
AAC|AAC|HEAR|HEAR|Al Arish International Airport|Al Arish International Airport|Al Arish|Al Arish|Egypt|Egypt
AAD|AAD|TVSV|TVSV|Ad-Dabbah|Ad-Dabbah|Ad-Dabbah|Ad-Dabbah|Sudan|Sudan
AAE|AAE|DABB|DABB|Les Salines|Les Salines|Annaba|Annaba|Algeria|Algeria
AAF|AAF|KAAF|KAAF|Municipal|Municipal|Apalachicola|Apalachicola|United States|United States
AAG|AAG|SSYA|SSYA|Arapoti|Arapoti|Arapoti|Arapoti|Brazil|Brazil
AAH|AAH|EDKA|EDKA|Aachen/Merzbruck|Aachen/Merzbruck|Aachen|Aachen|Germany|Germany
AAI|AAI|SWRA|SWRA|Arraias|Arraias|Arraias|Arraias|Brazil|Brazil
AAJ|AAJ|SMCA|SMCA|Cayana Airstrip|Cayana Airstrip|Awaradam|Awaradam|Suriname|Suriname
AAK|AAK|NGUK|NGUK|Aranuka|Aranuka|Aranuka|Aranuka|Kiribati|Kiribati
AAL|AAL|EKYT|EKYT|Aalborg|Aalborg|Aalborg|Aalborg|Denmark|Denmark
AAM|AAM|FAMD|FAMD|Mala Mala|Mala Mala|Mala Mala|Mala Mala|South Africa|South Africa
AAN|AAN|OMAL|OMAL|Al Ain|Al Ain|Al Ain|Al Ain|United Arab Emirates|United Arab Emirates
AAO|AAO|SVAN|SVAN|Anaco|Anaco|Anaco|Anaco|Venezuela|Venezuela
AAP|AAP|BGAG|BGAG|Andrau Airpark|Andrau Airpark|Houston, TX|Houston, TX|United States|United States
AAQ|AAQ|URKA|URKA|Vityazevo|Vityazevo|Anapa|Anapa|Russian Federation|Russian Federation
AAR|AAR|EKAH|EKAH|Aarhus Airport|Aarhus Airport|Aarhus|Aarhus|Denmark|Denmark
AAS|AAS|||Apalapsili|Apalapsili|Apalapsili|Apalapsili|Indonesia|Indonesia
AAT|AAT|ZWAT|ZWAT|Altay|Altay|Altay|Altay|China|China
AAU|AAU|NSAU|NSAU|Asau|Asau|Asau|Asau|Samoa|Samoa
AAV|AAV|RPMA|RPMA|Allah Valley|Allah Valley|Surallah|Surallah|Philippines|Philippines
AAW|AAW|OPAB|OPAB|Abbottabad|Abbottabad|Abbottabad|Abbottabad|Pakistan|Pakistan
AAX|AAX|SBAX|SBAX|Araxa|Araxa|Araxa|Araxa|Brazil|Brazil
AAY|AAY|OYGD|OYGD|Al Ghaydah|Al Ghaydah|Al Ghaydah|Al Ghaydah|Yemen|Yemen
AAZ|AAZ|MGQZ|MGQZ|Ambriz|Ambriz|Ambriz|Ambriz|Angola|Angola
ABA|ABA|UNAA|UNAA|Abakan|Abakan|Abakan|Abakan|Russian Federation|Russian Federation
ABB|ABB|EGUD|EGUD|RAF Station|RAF Station|Abingdon|Abingdon|United Kingdom|United Kingdom
ABC|ABC|LEAB|LEAB|Los Llanos|Los Llanos|Albacete|Albacete|Spain|Spain
ABD|ABD|OIAA|OIAA|Abadan|Abadan|Abadan|Abadan|Iran|Iran
ABF|ABF|NGAB|NGAB|Abaiang|Abaiang|Abaiang|Abaiang|Kiribati|Kiribati
ABG|ABG|YABI|YABI|Abingdon|Abingdon|Abingdon|Abingdon|Australia|Australia
ABH|ABH|YAPH|YAPH|Alpha|Alpha|Alpha|Alpha|Australia|Australia
ABI|ABI|KABI|KABI|Municipal|Municipal|Abilene|Abilene|United States|United States
ABJ|ABJ|DIAP|DIAP|Felix Houphouet Boigny|Felix Houphouet Boigny|Abidjan|Abidjan|Cote D&#039;Ivoire|Cote D&#039;Ivoire
ABK|ABK|HAKD|HAKD|Kabri Dar|Kabri Dar|Kabri Dar|Kabri Dar|Ethiopia|Ethiopia
ABL|ABL|PAFM|PAFM|Ambler|Ambler|Ambler|Ambler|United States|United States
ABM|ABM|YBAM|YBAM|Bamaga Injinoo|Bamaga Injinoo|Bamaga, Queensland|Bamaga, Queensland|Australia|Australia
ABN|ABN|SMBN|SMBN|Albina|Albina|Albina|Albina|Suriname|Suriname
ABO|ABO|DIAO|DIAO|Aboisso|Aboisso|Aboisso|Aboisso|Cote D&#039;Ivoire|Cote D&#039;Ivoire
ABP|ABP|||Atkamba|Atkamba|Atkamba|Atkamba|Papua New Guinea|Papua New Guinea
ABQ|ABQ|KABQ|KABQ|Albuquerque International|Albuquerque International|Albuquerque|Albuquerque|United States|United States
ABR|ABR|KABR|KABR|Municipal|Municipal|Aberdeen|Aberdeen|United States|United States
ABS|ABS|HEBL|HEBL|Abu Simbel|Abu Simbel|Abu Simbel|Abu Simbel|Egypt|Egypt
ABT|ABT|OEBA|OEBA|Al-Aqiq|Al-Aqiq|Al-Baha|Al-Baha|Saudi Arabia|Saudi Arabia
ABU|ABU|WATA|WATA|Atambua|Atambua|Atambua|Atambua|Indonesia|Indonesia
ABV|ABV|DNAA|DNAA|Nnamdi Azikiwe International Airport|Nnamdi Azikiwe International Airport|Abuja|Abuja|Nigeria|Nigeria
ABW|ABW|||Abau|Abau|Abau|Abau|Papua New Guinea|Papua New Guinea
ABX|ABX|YMAY|YMAY|Albury|Albury|Albury|Albury|Australia|Australia
ABY|ABY|KABY|KABY|Dougherty County|Dougherty County|Albany|Albany|United States|United States
ABZ|ABZ|EGPD|EGPD|Dyce|Dyce|Aberdeen|Aberdeen|United Kingdom|United Kingdom
ACB|ACB|KACB|KACB|Antrim County|Antrim County|Bellaire|Bellaire|United States|United States
ACC|ACC|DGAA|DGAA|Kotoka|Kotoka|Accra|Accra|Ghana|Ghana
ACD|ACD|SKAD|SKAD|Acandi|Acandi|Acandi|Acandi|Colombia|Colombia
ACE|ACE|GCRR|GCRR|Lanzarote|Lanzarote|Arrecife|Arrecife|Spain|Spain
